Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,358.5,358.5,353.0,353.5,261.19012451171875,4984482
2021-07-29,354.0,356.5,351.5,352.5,260.4512634277344,5998967
2021-07-30,354.0,357.0,351.0,351.0,259.34295654296875,7177530
2021-08-02,315.0,323.0,312.0,319.5,254.9541015625,10034373
2021-08-03,322.0,329.0,319.0,324.5,258.9439697265625,5928515
2021-08-04,323.0,325.0,319.0,324.0,258.54498291015625,4163570
2021-08-05,324.0,326.0,320.0,321.0,256.15106201171875,4531817
2021-08-06,320.5,325.0,318.0,323.5,258.14599609375,3155950
2021-08-09,324.0,324.0,320.5,322.0,256.9490051269531,1903350
2021-08-10,319.0,320.5,317.0,319.5,254.9541015625,3739506
2021-08-11,320.0,323.0,318.5,323.0,257.74700927734375,5028024
2021-08-12,329.0,329.5,319.0,319.0,254.5550994873047,6362831
2021-08-13,320.0,320.5,316.5,316.5,252.5601348876953,3064176
2021-08-16,318.0,319.0,313.0,315.0,251.3631591796875,3556542
2021-08-17,315.0,315.0,315.0,315.0,251.3631591796875,0
2021-08-18,317.5,318.5,312.0,317.5,253.35812377929688,4039675
2021-08-19,316.0,316.5,311.0,311.0,248.17127990722656,3573658
2021-08-20,312.0,313.5,307.0,312.0,248.96923828125,3294229
2021-08-23,316.0,319.0,314.5,317.5,253.35812377929688,2116456
2021-08-24,319.5,319.5,315.0,315.0,251.3631591796875,1478237
2021-08-25,316.0,318.5,316.0,318.5,254.1560821533203,918527
2021-08-26,319.5,319.5,316.0,319.0,254.5550994873047,1332154
2021-08-27,317.0,317.5,316.0,317.5,253.35812377929688,1171220
2021-08-30,318.0,319.5,315.5,319.0,254.5550994873047,2367671
2021-08-31,317.5,324.0,317.0,324.0,258.54498291015625,2816456
2021-09-01,322.0,323.0,320.0,321.0,256.15106201171875,1565534
2021-09-02,321.0,322.5,316.0,316.0,252.1611785888672,1815115
2021-09-03,318.0,321.0,317.0,319.5,254.9541015625,1559295
2021-09-06,319.0,324.5,319.0,323.0,257.74700927734375,1748763
2021-09-07,322.5,324.5,319.0,319.0,254.5550994873047,1910828
2021-09-08,319.0,321.0,315.0,317.0,252.95913696289062,2440059
2021-09-09,315.5,318.5,313.5,316.0,252.1611785888672,1309233
2021-09-10,319.0,319.5,316.0,316.0,252.1611785888672,1846692
2021-09-13,318.0,322.0,317.5,320.0,255.35305786132812,1340908
2021-09-14,322.5,324.0,320.5,322.5,257.3480224609375,2277754
2021-09-15,323.5,325.0,322.0,322.5,257.3480224609375,2276976
2021-09-16,324.5,326.0,323.0,326.0,260.1409606933594,2089621
2021-09-17,327.0,329.0,326.0,326.0,260.1409606933594,3505385
2021-09-22,321.0,328.5,320.5,328.5,262.1358947753906,2745619
2021-09-23,331.0,333.0,329.0,331.5,264.5298156738281,1896822
2021-09-24,334.0,338.0,333.0,337.0,268.918701171875,2961085
2021-09-27,338.0,341.0,337.0,340.5,271.7116394042969,2588637
2021-09-28,339.0,340.5,335.0,338.5,270.11566162109375,2064997
2021-09-29,333.0,334.5,327.5,328.5,262.1358947753906,2814067
2021-09-30,329.0,329.5,325.0,325.5,259.741943359375,2092363
2021-10-01,325.0,325.5,319.0,320.5,255.7520751953125,2273292
2021-10-04,323.0,325.0,322.0,324.0,258.54498291015625,1710854
2021-10-05,321.0,327.0,320.5,324.0,258.54498291015625,1657450
2021-10-06,326.0,326.0,321.0,323.0,257.74700927734375,1927528
2021-10-07,327.0,337.0,327.0,337.0,268.918701171875,3979143
2021-10-08,334.0,339.0,333.0,338.0,269.7166748046875,2348275
2021-10-12,338.5,342.0,333.5,338.0,269.7166748046875,2560267
2021-10-13,340.0,345.0,338.5,343.5,274.1055603027344,3511827
2021-10-14,344.0,344.5,332.0,333.5,266.12579345703125,3585208
2021-10-15,336.0,337.5,333.5,334.0,266.5247802734375,1897613
2021-10-18,336.0,339.0,335.5,335.5,267.72174072265625,1544919
2021-10-19,338.0,339.5,336.5,339.0,270.5146789550781,1819780
2021-10-20,341.0,348.0,339.5,344.5,274.9035339355469,3771367
2021-10-21,347.0,351.0,346.5,349.0,278.49444580078125,3769356
2021-10-22,353.0,356.0,350.5,356.0,284.080322265625,3908743
2021-10-25,354.5,359.5,352.0,353.0,281.68634033203125,2936238
2021-10-26,354.5,358.5,352.0,356.5,284.4792785644531,2544258
2021-10-27,355.5,358.5,354.5,357.5,285.2772521972656,1410707
2021-10-28,357.0,359.0,354.0,354.0,282.4843444824219,1773441
2021-10-29,354.0,356.5,350.5,353.0,281.68634033203125,2431407
2021-11-01,354.0,356.0,352.0,355.0,283.28228759765625,1139132
2021-11-02,356.0,358.0,356.0,356.0,284.080322265625,1783017
2021-11-03,360.0,360.0,354.0,356.0,284.080322265625,2914323
2021-11-04,358.5,360.0,356.0,359.0,286.4742431640625,1959362
2021-11-05,359.0,364.5,358.0,364.5,290.86309814453125,2781034
2021-11-08,369.0,374.5,367.0,371.5,296.4489440917969,4080166
2021-11-09,373.0,376.0,371.5,375.5,299.640869140625,3501240
2021-11-10,372.0,378.0,371.0,377.5,301.23681640625,3299820
2021-11-11,362.5,368.5,362.0,365.0,291.2620849609375,7128568
2021-11-12,365.0,365.0,357.0,360.0,287.2721862792969,4006259
2021-11-15,360.5,361.5,356.0,359.0,286.4742431640625,2874562
2021-11-16,358.0,358.0,353.0,354.5,282.8833312988281,3693722
2021-11-17,353.5,358.0,353.0,357.5,285.2772521972656,2264509
2021-11-18,355.5,361.0,355.5,359.5,286.87322998046875,2386979
2021-11-19,362.5,363.0,359.0,360.5,287.67120361328125,1719908
2021-11-22,359.5,359.5,354.5,356.0,284.080322265625,2192780
2021-11-23,355.0,356.5,352.5,352.5,281.2873840332031,2214579
2021-11-24,354.0,358.5,353.5,355.0,283.28228759765625,1336244
2021-11-25,358.0,361.0,356.0,361.0,288.0701904296875,1476171
2021-11-26,361.0,361.0,355.5,356.0,284.080322265625,1748960
2021-11-29,354.5,357.5,351.5,355.5,283.6813049316406,2215771
2021-11-30,354.5,360.5,352.5,352.5,281.2873840332031,4973722
2021-12-01,356.0,361.0,355.0,360.0,287.2721862792969,2028442
2021-12-02,360.0,364.0,359.0,363.5,290.06512451171875,2072050
2021-12-03,363.5,367.0,362.5,365.5,291.66107177734375,2345512
2021-12-06,363.5,365.0,361.0,365.0,291.2620849609375,1603940
2021-12-07,361.0,367.0,361.0,366.5,292.4590759277344,1537334
2021-12-08,367.0,368.0,360.0,360.0,287.2721862792969,3967304
2021-12-09,363.5,367.0,361.0,367.0,292.8580627441406,2199159
2021-12-10,370.0,371.5,367.5,368.0,293.6560363769531,2238085
2021-12-13,369.0,370.5,365.5,366.5,292.4590759277344,2362610
2021-12-14,365.5,367.0,363.0,366.5,292.4590759277344,1668540
2021-12-15,367.0,367.5,363.0,364.5,290.86309814453125,1769801
2021-12-16,368.0,369.5,367.0,367.0,292.8580627441406,3566825
2021-12-17,367.0,370.0,366.0,366.5,292.4590759277344,3241616
2021-12-20,365.5,369.5,364.5,367.0,292.8580627441406,1900334
2021-12-21,368.0,371.0,367.0,370.5,295.6509704589844,2128739
2021-12-22,372.0,372.5,368.5,370.0,295.2519836425781,1948032
2021-12-23,370.0,371.5,369.5,371.0,296.04998779296875,1836790
2021-12-24,372.0,373.5,369.0,370.0,295.2519836425781,1358494
2021-12-27,370.5,373.0,369.0,372.5,297.2469482421875,1437152
2021-12-28,373.5,374.0,372.0,373.5,298.044921875,1361802
2021-12-29,374.5,374.5,372.5,373.5,298.044921875,1048858
2021-12-30,374.5,377.0,373.5,376.0,300.0398864746094,2738867
2022-01-03,377.0,377.5,371.5,373.5,298.044921875,1730011
2022-01-04,375.0,378.5,373.5,377.0,300.8378601074219,3341096
2022-01-05,377.5,385.0,377.0,380.5,303.6307678222656,4310927
2022-01-06,378.0,381.5,377.0,380.0,303.23175048828125,2135303
2022-01-07,382.0,382.5,373.0,377.5,301.23681640625,2388009
2022-01-10,376.5,378.5,374.5,378.5,302.0347900390625,1428230
2022-01-11,379.5,383.0,377.0,378.0,301.63580322265625,3127581
2022-01-12,379.5,380.0,375.0,378.0,301.63580322265625,1692809
2022-01-13,378.5,379.0,375.5,378.0,301.63580322265625,1901722
2022-01-14,377.0,377.5,372.0,377.5,301.23681640625,2098892
2022-01-17,377.0,378.5,375.5,378.0,301.63580322265625,1001951
2022-01-18,377.5,381.0,376.5,380.0,303.23175048828125,1943690
2022-01-19,378.0,381.0,377.5,378.0,301.63580322265625,1302279
